WS-#,Site,Time,Date,pH,Notes,Type,deep C screen,Na-MP,Na mg/L,Mg-MP,Mg mg/L,Al-MP,Al mg/L,Si-MP,Si mg/L,P-MP,K-MP,K mg/L,Ca-MP,Ca mg/L,Mn-MP,Mn mg/L,Fe-MP,Fe mg/L,Zn-MP,Rb-MP,Sr-MP,Ba-MP,Pb-MP,F mg/L,Cl mg/L,NO3 mg/L,SO4 mg/L,DOC mg/L,TDN mg/L,NH4 mg N/L,Alm mg/L,Alo mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,O2,10:20,11-Mar-13,4.73,,G1,,0.92,0.86,0.70,0.70,0.79,0.74,3.46,3.62,,0.14,0.14,0.72,0.80,0.17,0.18,0.26,0.26,,0.00,0.01,0.01,,0.05,0.43,3.76,2.98,13.43,1.09,0.007,0.398,0.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,O2,10:20,12-Mar-13,4.58,,G1,,,0.82,,0.68,,0.73,,3.10,,,0.15,,0.78,,0.16,,0.25,,,,,,0.06,0.59,3.90,2.84,14.14,1.22,0.019,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,O2,10:20,12-Mar-13,4.13,,G1,,,0.76,,0.36,,0.71,,3.37,,,0.12,,0.41,,0.08,,0.42,,,,,,0.06,0.48,6.14,2.91,12.31,1.62,0.003,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,O2,11:15,13-Mar-13,4.57,,G1,,0.76,0.68,0.65,0.58,0.81,0.74,2.39,2.40,,0.16,0.14,0.69,0.72,0.16,0.14,0.29,0.28,,0.00,0.01,0.01,,0.04,0.66,2.89,2.44,14.60,0.95,0.013,0.390,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,O2,,1-Apr-13,4.58,,G1,,,0.71,,0.60,,0.88,,2.75,,,0.23,,0.80,,0.13,,0.35,,,,,,0.04,0.45,2.80,2.26,17.82,1.02,0.046,0.430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,O2,,11-Apr-13,,,G1,,,0.46,,0.38,,0.80,,1.58,,,0.12,,0.60,,0.11,,0.26,,,,,,0.04,0.43,1.73,1.92,17.32,0.69,0.005,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,O2,,3-Sep-13,4.24,,G1,,,0.80,,0.30,,1.61,,3.92,,,0.10,,0.66,,0.26,,0.67,,,,,,0.04,0.19,0.32,1.35,36.04,0.72,0.014,0.682,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,O2,,13-Jun-14,4.26,,G1,,,0.67,,0.37,,1.23,,2.52,,,0.08,,0.58,,0.09,,0.61,,,,,,0.05,0.30,1.57,1.24,30.25,0.82,0.008,0.640,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,O2,,14-Jun-14,4.32,,G1,,,0.90,,0.33,,1.26,,2.46,,,0.10,,0.58,,0.09,,0.59,,,,,,0.04,0.33,1.19,1.14,31.88,0.73,0.008,0.666,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,O2,,16-Jun-14,4.56,,G1,,,0.74,,0.51,,1.26,,2.98,,,0.14,,0.88,,0.10,,0.46,,,,,,0.07,0.38,0.02,2.56,25.29,0.42,0.012,0.666,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,O2,11:40,16-Jul-14,4.17,,G1,,,0.66,,0.31,,1.55,,3.22,,,0.06,,0.62,,0.14,,0.77,,,,,,0.06,0.15,0.80,1.18,43.34,0.86,0.008,0.959,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,P1,,10-Aug-12,4.43,,G1,,0.17,0.19,0.07,0.08,0.36,0.43,0.87,1.10,0.09,0.09,0.12,0.45,0.48,0.18,0.21,0.10,0.13,0.02,0.00,0.00,0.01,0.00,0.03,0.26,0.40,1.87,9.81,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Q1,,3-Nov-11,4.96,,G1,,0.60,0.58,0.13,0.16,0.58,0.98,2.31,2.75,0.01,0.25,0.31,0.84,0.78,0.31,0.40,0.53,0.95,0.90,0.00,0.01,0.02,0.04,0.08,0.35,0.31,2.46,12.48,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Q1,,1-Feb-12,5.15,,G1,,0.62,0.64,0.16,0.19,0.48,0.70,2.10,2.56,0.00,0.19,0.23,0.56,0.63,0.06,0.08,0.15,0.26,1.79,0.00,0.01,0.02,0.03,0.09,0.46,2.66,2.27,8.96,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Q1,,22-Mar-12,4.69,,G1,,0.55,0.60,0.14,0.16,0.77,1.03,1.68,2.08,0.00,0.19,0.21,0.42,0.50,0.02,0.04,0.12,0.23,0.41,0.00,0.01,0.02,0.02,0.05,0.31,2.21,2.33,10.59,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Q1,,24-Apr-12,4.58,,G1,,0.55,0.54,0.15,0.15,0.93,1.15,2.06,2.57,0.00,0.24,0.28,0.40,0.43,0.02,0.02,0.10,0.18,0.25,0.00,0.00,0.02,0.02,0.04,0.44,1.71,2.24,11.73,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Q1,,10-Aug-12,4.56,,G1,,0.43,0.55,0.12,0.15,1.11,1.24,1.44,2.12,0.02,0.27,0.34,0.51,0.56,0.03,0.05,0.29,0.32,0.55,0.00,0.01,0.02,0.03,0.05,0.27,1.92,2.07,14.98,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,Q1,,13-Jun-14,4.64,,G1,,,0.83,,0.16,,1.23,,2.48,,,0.46,,0.40,,0.01,,0.29,,,,,,0.07,0.87,1.72,2.19,12.38,0.65,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,Q1,,14-Jun-14,4.68,,G1,,,0.84,,0.15,,1.28,,2.26,,,0.43,,0.40,,0.01,,0.29,,,,,,0.05,0.59,1.74,2.01,12.62,0.64,0.003,0.823,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,A5,,25-Mar-10,4.80,,G2,,,0.65,,0.20,,1.11,,2.33,,,0.10,,0.40,,0.01,,0.02,,,,,,0.04,0.37,2.08,2.61,6.05,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,A5,,28-Jun-10,4.66,,G2,,0.69,0.50,0.19,0.16,1.19,0.87,2.26,1.80,,0.08,0.07,0.42,0.33,0.01,0.01,0.04,0.05,0.01,0.00,0.00,0.01,0.00,0.04,0.42,0.04,3.16,7.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,A5,,29-Sep-10,4.68,,G2,,0.69,0.64,0.21,0.18,1.09,1.07,2.23,2.31,,0.09,0.12,0.49,0.46,0.01,0.02,0.08,0.05,0.01,0.00,0.00,0.01,0.00,0.03,0.39,0.22,3.67,6.80,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,A5,,7-Apr-11,4.64,,G2,,0.64,0.61,0.18,0.19,1.15,1.11,2.25,2.37,,0.05,0.04,0.35,0.35,0.01,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.03,0.64,1.60,3.13,5.86,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,A5,,14-Apr-11,4.64,,G2,,0.65,0.57,0.20,0.18,1.28,1.13,1.97,1.94,,0.05,0.04,0.38,0.34,0.01,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.04,0.43,1.86,3.03,5.55,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,A5,,24-May-11,4.78,,G2,,0.57,0.51,0.16,0.16,1.18,1.08,1.86,1.96,,0.05,0.07,0.36,0.31,0.00,0.01,0.03,0.09,0.01,0.00,0.00,0.00,0.00,0.04,0.35,0.44,3.02,6.73,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,A5,,16-Aug-11,4.66,,G2,,0.58,0.68,0.15,0.17,1.00,1.03,1.89,2.19,0.00,0.08,0.18,0.35,0.39,0.01,0.01,0.04,0.05,0.02,0.00,0.00,0.01,0.00,0.04,0.30,0.22,3.21,6.91,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,A5,,4-Nov-11,4.77,,G2,,0.53,0.53,0.12,0.14,0.84,1.05,2.20,2.66,0.00,0.04,0.07,0.25,0.32,0.01,0.01,0.02,0.05,0.01,0.00,0.00,0.01,0.00,0.02,0.36,0.13,2.90,7.65,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,A5,,1-Feb-12,4.78,,G2,,0.63,0.64,0.15,0.17,0.88,1.11,2.29,2.71,0.00,0.02,0.04,0.27,0.34,0.00,0.01,0.02,0.02,0.01,0.00,0.00,0.01,0.00,0.02,0.43,1.91,2.60,6.20,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,A5,,22-Mar-12,4.66,,G2,,0.61,0.68,0.17,0.20,0.93,1.19,1.90,2.54,0.00,0.02,0.04,0.28,0.37,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.01,0.00,0.02,0.42,3.66,2.33,5.27,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,A5,,24-Apr-12,4.68,,G2,,0.62,0.60,0.17,0.17,0.92,1.01,2.06,2.64,0.00,0.03,0.04,0.30,0.35,0.00,0.01,0.02,0.02,0.00,0.00,0.00,0.01,0.00,0.03,0.46,1.84,2.34,6.10,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,A5,,10-Aug-12,4.65,,G2,,,0.65,,0.17,,1.02,,2.45,,,0.08,,0.38,,0.01,,0.05,,,,,,0.06,0.27,0.11,3.41,7.25,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,A5,,10-Aug-12,4.65,,G2,,0.60,0.65,0.16,0.17,1.08,1.02,1.99,2.45,0.02,0.10,0.08,0.39,0.38,0.01,0.01,0.16,0.05,0.04,0.00,0.00,0.01,0.00,0.06,0.27,0.11,3.41,7.25,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,A5,10:10,30-Oct-12,4.82,,G2,,0.60,0.63,0.13,0.16,0.91,1.01,2.39,2.76,0.00,0.06,0.09,0.28,0.34,0.01,0.01,0.02,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.55,0.16,3.03,8.06,0.28,0.016,0.593,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,A5,9:30,12-Mar-13,4.74,,G2,,,0.62,,0.17,,0.99,,2.56,,,0.04,,0.34,,0.01,,0.02,,,,,,0.09,0.58,3.01,2.52,5.36,0.81,0.003,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,A5,9:30,12-Mar-13,4.67,,G2,,,0.61,,0.16,,0.99,,2.39,,,0.02,,0.28,,0.01,,0.02,,,,,,0.07,0.60,2.84,2.39,5.20,0.76,0.003,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,A5,10:24,13-Mar-13,4.70,,G2,,0.70,0.64,0.19,0.17,1.07,1.11,2.54,2.65,,0.05,0.05,0.33,0.35,0.01,0.01,0.02,0.05,,0.00,0.00,0.01,,0.05,0.58,2.39,2.69,6.60,0.70,0.003,0.683,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,A5,,1-Apr-13,4.74,,G2,,,0.66,,0.18,,1.12,,2.70,,,0.12,,0.35,,0.01,,0.02,,,,,,0.05,0.57,2.09,2.35,6.15,0.67,0.003,0.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,A5,,11-Apr-13,,,G2,,,0.65,,0.18,,1.14,,2.50,,,0.06,,0.34,,0.01,,0.02,,,,,,0.08,0.56,2.23,2.32,6.25,0.64,0.003,0.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,A5,,3-Sep-13,4.86,,G2,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.38,0.24,2.78,8.20,0.24,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,A5,,13-Jun-14,4.71,,G2,,,0.68,,0.19,,1.11,,2.46,,,0.13,,0.49,,0.01,,0.02,,,,,,0.05,0.67,1.62,2.65,7.57,0.54,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,A5,,14-Jun-14,4.87,,G2,,,0.71,,0.20,,1.06,,2.19,,,0.13,,0.41,,0.01,,0.02,,,,,,0.04,0.58,1.84,2.44,6.38,0.59,0.003,0.694,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,A5,,16-Jun-14,4.63,,G2,,,0.65,,0.18,,1.09,,2.27,,,0.12,,0.41,,0.01,,0.02,,,,,,0.08,0.89,1.98,2.41,6.45,0.56,0.003,0.732,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,A5,10:45,16-Jul-14,5.28,,G2,,,0.65,,0.18,,1.13,,2.46,,,0.10,,0.44,,0.01,,0.02,,,,,,0.03,0.56,1.22,2.96,7.66,0.50,0.012,0.725,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,A5,11:50,4-Aug-14,4.76,,G2,,,0.60,,0.19,,1.06,,2.12,,,0.09,,0.45,,0.01,,0.02,,,,,,0.01,0.44,1.50,2.51,7.10,0.51,0.003,0.637,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,N2,,25-Mar-10,4.94,,G2,,,0.47,,0.05,,0.48,,1.27,,,0.16,,0.18,,0.09,,0.01,,,,,,0.02,0.28,0.56,2.02,2.69,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,N2,,28-Jun-10,4.67,,G2,,0.41,0.38,0.07,0.07,0.59,0.48,1.24,1.22,,0.11,0.11,0.25,0.26,0.10,0.11,0.02,0.03,0.01,0.00,0.00,0.01,0.00,0.02,0.23,0.21,2.18,3.76,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,N2,,29-Sep-10,4.67,,G2,,0.37,0.41,0.05,0.05,0.55,0.54,1.28,1.27,,0.12,0.20,0.24,0.23,0.09,0.08,0.01,0.02,0.02,0.00,0.00,0.01,0.00,0.05,0.30,0.72,2.65,3.15,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,N2,,7-Apr-11,4.66,,G2,,0.56,0.49,0.06,0.06,0.74,0.61,1.43,1.42,,0.07,0.05,0.17,0.17,0.10,0.10,0.01,0.02,0.03,0.00,0.00,0.01,0.00,0.03,0.59,1.86,2.26,1.66,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,N2,,14-Apr-11,4.73,,G2,,0.43,0.42,0.05,0.05,0.64,0.56,1.07,1.12,,0.14,0.11,0.22,0.16,0.09,0.09,0.02,0.02,0.01,0.00,0.00,0.01,0.00,0.01,0.36,1.35,2.34,2.17,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
