LocationType,SampleDate,NO3median_mgL,num_samples,HPU,median_ht_above_C_cm,sdWLs,wells_included
G2,2011-11-04,0.1545529443376335,2,Bhs,27.85000000000001,23.370023534434026,5
G2,2012-02-01,1.91161411331358,5,Bhs,39.2,16.92761550445504,4
G2,2012-03-22,3.12655879305437,6,Bhs,61.125,40.13743472952235,6
G2,2012-04-24,2.8700333218674,5,Bhs,25.10000000000001,21.306876824161726,5
G2,2012-08-10,0.304540499629296,7,Bhs,22.400000000000006,10.368582352472304,3
G2,2012-10-09,0.1486498589030115,2,Bhs,40.75,26.92521665031995,4
G2,2012-10-22,0.13294682938566849,2,Bhs,57.400000000000006,38.98897814340185,6
G2,2012-10-29,0.202626159612027,1,Bhs,27.05,17.431484924316308,4
G2,2012-10-30,0.380354245685962,4,Bhs,24.750000000000004,15.827613001755296,4
G2,2012-11-06,0.27916683231773953,2,Bhs,42.5,18.876440342395064,4
G2,2012-11-21,0.382119878311846,1,Bhs,24.6,18.126793014761326,4
G2,2012-12-03,1.3043758743723886,2,Bhs,19.375000000000007,8.718693996235906,4
G2,2012-12-18,1.25724106535949,1,Bhs,30.525000000000006,15.714775425269897,4
G2,2013-01-02,1.53044956301582,1,Bhs,24.5,10.998598395553257,4
G2,2013-01-14,1.04397132356012,2,Bhs,20.450000000000003,8.275818187144198,4
G2,2013-01-28,1.55892181554965,1,Bhs,21.75,8.323060334596486,4
G2,2013-01-31,1.456730834804845,2,Bhs,19.000000000000007,8.56076320585184,4
G2,2013-02-13,1.52909913282046,1,Bhs,19.050000000000004,8.583462782195385,4
G2,2013-03-12,3.01205143994754,5,Bhs,18.700000000000003,8.429511650544574,4
G2,2013-03-13,2.04267245908137,4,Bhs,18.700000000000003,8.586035173466273,4
G2,2013-03-27,1.59119344524286,1,Bhs,22.250000000000007,5.7979881568236,4
G2,2013-04-01,2.08953704317118,5,Bhs,44.00000000000001,18.574108323147033,4
G2,2013-04-11,1.6457410111284,5,Bhs,66.15,39.36573912257544,6
G2,2013-06-28,0.483685594728363,3,Bhs,17.300000000000004,11.001363551851199,4
G2,2013-09-03,2.19796249175139,3,Bhs,19.85,17.0412734265958,2
G2,2013-11-07,6.2911837839006655,2,Bhs,31.75,15.132085117392121,2
G2,2014-06-13,2.5433966410738,4,Bhs,19,16.97056274847714,2
G2,2014-06-14,1.7331223988081752,6,Bhs,19.125,16.793786053180504,2
G2,2014-06-16,1.82478832479792,5,Bhs,75.42500000000001,20.470741315350555,2
G2,2014-07-16,1.515332469812075,4,Bhs,19.050000000000004,16.475588001646557,2
G2,2014-08-04,1.49628272696523,1,Bhs,27.549999999999997,12.765089110538945,3
G2,2014-10-07,2.2184150498517603,4,Bhs,7.5,16.26609459376569,3
G2,2014-10-08,0.7352426054941714,8,Bhs,19.35,16.475588001646557,2
G2,2019-03-13,0.78,1,Bhs,7.6000000000000085,NA,1
G3,2011-04-14,0.399204228701342,3,typical,22.200000000000003,36.02000138811768,5
G3,2011-05-24,0.367669700578851,1,typical,22.125,27.14341540779273,4
G3,2011-08-29,0.774422718467175,3,typical,15.000000000000007,6.137236077149598,6
G3,2011-11-03,0.114360608831906,1,typical,13.149999999999999,5.2620496640251,4
G3,2011-11-04,0.524866764800361,1,typical,13.350000000000001,5.2283681329199965,4
G3,2012-02-01,0.921176787541119,2,typical,15.950000000000003,10.015071975111645,6
G3,2012-03-22,0.576252722358075,4,typical,28.375,26.558758756136676,6
G3,2012-04-24,0.32771581180883,4,typical,15.100000000000009,10.120161395287461,6
G3,2012-08-10,0.810729143280032,3,typical,15.75,6.107918357891388,6
G3,2012-10-29,0.5104853604427706,2,typical,15.5,20.99263759829461,3
G3,2012-10-30,0.5238951297893031,2,typical,15.5,20.103979705520988,3
G3,2013-03-12,0.5895669050900385,2,typical,13.5,6.831178522041415,5
G3,2013-03-13,0.8600761097097954,2,typical,13.5,6.626235733808442,5
G3,2013-04-01,0.9080160301189623,2,typical,16.10000000000001,16.444087083204092,5
G3,2013-04-11,1.69342175223458,1,typical,37.60000000000001,26.509092779648267,5
G3,2014-07-16,0.954930365404194,1,typical,19.974999999999987,16.086679271993926,2
G3,2014-08-04,3.51721447549811,1,typical,23.25,20.152543263816604,2
G3,2014-08-08,4.43826067238402,1,typical,19.9,15.839191898578658,2
G3,2014-08-11,4.91002227687909,1,typical,19.9,15.839191898578658,2
G3,2019-03-13,0.71,1,typical,25.5,NA,1
G3,2019-06-06,0.55,5,typical,74.1,NA,1
